,Input,Type,avg_score,entailment_score,time_taken
1,Stressed out?,Random search with 500 iterations,5.978,0.6888670325279236,48.969011306762695
2,Stressed out?,Full Dataset with Threshold at 50,6.342327829238824,0.8405555486679077,485.471004486084
0,Start thinking ,Full Dataset,12.556584776480065,0.9287684559822083,474.37754130363464
1,Start thinking ,Random search with 500 iterations,12.97,0.7770287990570068,48.699326038360596
2,Start thinking ,Full Dataset with Threshold at 50,12.556584776480065,0.9287684559822083,478.7361855506897
0,Anything for you,Full Dataset,13.763189689891261,0.9287684559822083,474.1564428806305
1,Anything for you,Random search with 500 iterations,12.876,0.8363852500915527,48.65967559814453
2,Anything for you,Full Dataset with Threshold at 50,13.763189689891261,0.9172356724739075,473.8282425403595
0,"Nervous, arent you?",Full Dataset,6.6818364881192105,0.9172356724739075,493.345406293869
1,"Nervous, arent you?",Random search with 500 iterations,6.392,0.8185583353042603,48.22603726387024
2,"Nervous, arent you?",Full Dataset with Threshold at 50,6.6818364881192105,0.8936910629272461,470.94500827789307
0,More rounds to go,Full Dataset,7.55155054369714,0.9749168753623962,759.1355092525482
1,More rounds to go,Random search with 500 iterations,7.198,0.7797456979751587,43.974072217941284
2,More rounds to go,Full Dataset with Threshold at 50,7.55155054369714,0.9749168753623962,436.4522280693054
